Universita' di Roma Tor Vergata
Corso di Laurea in Ingeneria Informatica

Risultati dell'appello (prova scritta) di Sistemi Operativi del 17/7/2018

Votazione massima ottenibile: 21
Soglia per la sufficienza: 12


Matricola       voto

239150          18
233229          13
201570          12
232784          12
228577          14
230334          16
175163          19
213450          20
216120          13
239986          18
239313          21
239234          21
232862          15
177424          non suff.
232024          17
176285          14
179523          non suff. 
232313          18
175328          13
239375          19
240304          13
166525          13
201172          12
218935          non firmata la delibera 
228612          12
92516           16
152367          12


			
