
Universita' di Roma Tor Vergata
Corso di Laurea in Ingeneria Informatica

Risultati del pre-appello (prova scritta) di Sistemi Operativi del 5/6/2019

Votazione massima ottenibile: 21
Soglia per la sufficienza: 12


Matricola	voto

242968		non suff.
240241		12	
233632		17	
253508		18	
239863		17	
203293		13	
240471		14	
251766		15	
233263		15	
244242		12	
240128		15	
239403		18	
253055		16	
258021		non suff.
206382		16	
251648		17	
229318		12	
253894		16	
205796		non suff.
252795		17	
239461		16	
232437		non suff.
239836		12	
252229		18	
253606		13	
234122		non suff.
215914		non suff.
243067		20	
240042		17	
226335		16	
242687		17	
201570		non suff.
219946		20	
252255		20	
241424		12	
240105		10	
218205		19	
218935		13	
241481		non suff.
228618		non suff.
241369		non suff.
253186		12	
252345		17	
258841		15	
241272		12	
245245		19	
216246		18	
252299		15	
251947		12	
258093		17	
245513		14	
253478		19	
240173		14	
245028		17	
241498		17	
231780		15	
252134		14	
252225		17	
253519		13	
252844		14	
252362		15	
253281		non suff.
255060		non suff.
240579		non suff.
252792		non suff.
182354		non suff.
240304		12	
240253		non suff.
252551		16	
253917		15	
259756		non suff.
178658		12	
256007		12	
258070		non suff.
253513		15	
233229		non suff.
252931		15	
241118		12	
240909		13	
216552		non suff.
216200		15	
240739		15	
245754		non suff.
233382		13	
245805		non suff.
240956		18	
239487		20	
252104		19	
257118		14	
254102		12	
229515		18	
252956		19	
202629		12	
284277		non suff.
244470		14	
259108		non firmata la delibera
252797		non suff.
253111		16	
253822		12	
255043		13	
240844		12	
253964		12	
218327		12	
174080		13	
219303		15	
218145		13	
